"","Q025.estres","Q025.incremento","Q025.sin_cambio","Q025.reduccion"
"2024-04-30",-0.125250181956315,-0.113484994089734,-0.0325431297587115,-0.0251344485758596
"2024-05-01",-0.126311257397444,-0.114560340756359,-0.0334244510731219,-0.0263169648492927
"2024-05-02",-0.121967302929454,-0.110157961079988,-0.0292079001804219,-0.0214758417299192
"2024-05-03",-0.119596692696103,-0.107755466673381,-0.0265250837946989,-0.0188339134840628
"2024-05-07",-0.118371870304315,-0.106514170696523,-0.0247652699080063,-0.0174689093060252
"2024-05-08",-0.117068020389141,-0.105192784293904,-0.0234313992106566,-0.0160158328488353
"2024-05-09",-0.115837573415817,-0.103945788086156,-0.0217387219892782,-0.0146445603519397
"2024-05-10",-0.116609160439784,-0.104727752781664,-0.0226283676955938,-0.0155044560547745
"2024-05-14",-0.116611396258096,-0.104730018671228,-0.0224727471464358,-0.0155069477640687
"2024-05-15",-0.114457783043761,-0.102547439844628,-0.0205962214515834,-0.0131068519990393
"2024-05-16",-0.116989934689057,-0.105113648358756,-0.023021163549787,-0.015928810185326
"2024-05-17",-0.115376296965952,-0.103478307572021,-0.0212929268695271,-0.0141304904871842
"2024-05-21",-0.111679699697035,-0.0997319919031248,-0.0173991572351405,-0.0100108150547109
"2024-05-22",-0.112915207705108,-0.100984117215398,-0.0193648607741205,-0.0113877278253504
"2024-05-23",-0.114000033369491,-0.102083533540426,-0.0199504024676284,-0.0125967125518328
"2024-05-24",-0.117070537653843,-0.105195335415249,-0.0230636398775806,-0.0160186382162578
"2024-05-28",-0.121576945030102,-0.109762352954884,-0.0285089792528371,-0.0210408070937811
"2024-05-29",-0.123168319220656,-0.111375130769573,-0.0299150462692324,-0.0228143151823748
"2024-05-31",-0.122177057272548,-0.110370536571714,-0.029127627719034,-0.0217096026054588
"2024-06-04",-0.121485916705643,-0.10967010031998,-0.0280673570226929,-0.0209393605134118
"2024-06-05",-0.120577791997393,-0.108749761539115,-0.0271142531394254,-0.0199273002920686
"2024-06-07",-0.12171738806393,-0.109904684915859,-0.0286150745810304,-0.0211973239318448
"2024-06-12",-0.12655065796788,-0.114802961210501,-0.0339564536515677,-0.0265837649837943
"2024-06-13",-0.126166745904491,-0.1144138856164,-0.0331467803866321,-0.0261559139140887
"2024-06-14",-0.127458543950667,-0.115723058055101,-0.0345759440661277,-0.0275955591573778
"2024-06-18",-0.126199346281141,-0.114446924460768,-0.0334706237410164,-0.0261922454268299
"2024-06-19",-0.125060077101136,-0.113292332367105,-0.0321495731907235,-0.0249225860859794
